source	target	strength
T00001	R02116	0.98
T00001	R03064	0.98
T00015	R01913	0.98
T00015	R09386	0.98
T00015	R00080	0.98
T00015	R01625	0.98
T00015	R00430	0.98
T00025	R02119	0.98
T00025	R02333	0.98
T00025	R02334	0.98
T00029	R00341	0.98
T00029	R00343	0.98
T00029	R00345	0.98
T00029	R00368	0.98
T00029	R02120	0.98
T00029	R38301	0.98
T00029	R03082	0.98
T00029	R03540	0.98
T00029	R20747	0.98
T00029	R20934	0.98
T00029	R22753	0.98
T00029	R24605	0.98
T00029	R24899	0.98
T00029	R25201	0.98
T00029	R25228	0.98
T00029	R29400	0.98
T00029	R25003	0.98
T00029	R25123	0.98
T00029	R01777	0.98
T00029	R01776	0.98
T00029	R58707	0.98
T00029	R16634	0.98
T00029	R37283	0.98
T00029	R00637	0.98
T00029	R00805	0.98
T00029	R00806	0.98
T00029	R01910	0.98
T00029	R00695	0.98
T00029	R00736	0.98
T00029	R00742	0.98
T00029	R03489	0.98
T00029	R37102	0.98
T00029	R37104	0.98
T00029	R60543	0.98
T00029	R03445	0.98
T00029	R29736	0.98
T00029	R38072	0.98
T00029	R33980	0.98
T00029	R14437	0.98
T00029	R02420	0.98
T00029	R30259	0.98
T00029	R26587	0.98
T00029	R14639	0.98
T00029	R21073	0.98
T00029	R03479	0.98
T00029	R30001	0.98
T00029	R04348	0.98
T00029	R25298	0.98
T00029	R26591	0.98
T00029	R69662	0.98
T00029	R40200	0.98
T00029	R27017	0.98
T00029	R27033	0.98
T00029	R58464	0.98
T00029	R60639	0.98
T00029	R26703	0.98
T00029	R24119	0.98
T00029	R30365	0.98
T00029	R04957	0.98
T00029	R05033	0.98
T00029	R05083	0.98
T00029	R05089	0.98
T00029	R05091	0.98
T00029	R05093	0.98
T00029	R38447	0.98
T00029	R33933	0.98
T00029	R15911	0.98
T00029	R22858	0.98
T00029	R32166	0.98
T00029	R32268	0.98
T00029	R32269	0.98
T00029	R32270	0.98
T00029	R04127	0.98
T00029	R27235	0.98
T00029	R27237	0.98
T00029	R20982	0.98
T00029	R20983	0.98
T00029	R41977	0.98
T00029	R00468	0.98
T00029	R16117	0.98
T00029	R65199	0.98
T00029	R21561	0.98
T00029	R18535	0.98
T00029	R04125	0.98
T00029	R14730	0.98
T00029	R35709	0.98
T00029	R35710	0.98
T00029	R60702	0.98
T00029	R60717	0.98
T00029	R60730	0.98
T00029	R60731	0.98
T00029	R33357	0.98
T00029	R39947	0.98
T00029	R02887	0.98
T00029	R03439	0.98
T00029	R03440	0.98
T00029	R14767	0.98
T00029	R24872	0.98
T00029	R35822	0.98
T00029	R28305	0.98
T00029	R28478	0.98
T00029	R28479	0.98
T00029	R29722	0.98
T00029	R04951	0.98
T00029	R29093	0.98
T00029	R30078	0.98
T00029	R30077	0.98
T00029	R03522	0.98
T00029	R25249	0.98
T00029	R02734	0.98
T00029	R05071	0.98
T00029	R25018	0.98
T00029	R23538	0.98
T00029	R25803	0.98
T00029	R26674	0.98
T00029	R30084	0.98
T00029	R31024	0.98
T00029	R13244	0.98
T00029	R13245	0.98
T00029	R28556	0.98
T00029	R14724	0.98
T00029	R14725	0.98
T00029	R00957	0.98
T00029	R00960	0.98
T00029	R14786	0.98
T00029	R31793	0.98
T00029	R34314	0.98
T00029	R14782	0.98
T00029	R40155	0.98
T00029	R25271	0.98
T00029	R69393	0.98
T00029	R69394	0.98
T00029	R42012	0.98
T00029	R25807	0.98
T00029	R26772	0.98
T00029	R00235	0.98
T00029	R09882	0.98
T00029	R25170	0.98
T00029	R26528	0.98
T00029	R30492	0.98
T00029	R30981	0.98
T00029	R39625	0.98
T00029	R32960	0.98
T00029	R03059	0.98
T00029	R24597	0.98
T00029	R33823	0.98
T00029	R37117	0.98
T00029	R60548	0.98
T00029	R01036	0.98
T00029	R01037	0.98
T00029	R02571	0.98
T00029	R27224	0.98
T00029	R27225	0.98
T00029	R27226	0.98
T00029	R27227	0.98
T00029	R68607	0.98
T00029	R18404	0.98
T00029	R22366	0.98
T00029	R22367	0.98
T00029	R55990	0.98
T00029	R02028	0.98
T00029	R58850	0.98
T00029	R20641	0.98
T00029	R11383	0.98
T00029	R42477	0.98
T00029	R01249	0.98
T00029	R29415	0.98
T00029	R56234	0.98
T00029	R01258	0.98
T00029	R08493	0.98
T00029	R08494	0.98
T00029	R02788	0.98
T00029	R23770	0.98
T00029	R24604	0.98
T00029	R24606	0.98
T00029	R28357	0.98
T00029	R03036	0.98
T00029	R38298	0.98
T00029	R58736	0.98
T00029	R33984	0.98
T00029	R38031	0.98
T00029	R13320	0.98
T00029	R60943	0.98
T00029	R20683	0.98
T00029	R03352	0.98
T00029	R59498	0.98
T00029	R13178	0.98
T00029	R37642	0.98
T00029	R37643	0.98
T00029	R39714	0.98
T00029	R24251	0.98
T00029	R25900	0.98
T00029	R14478	0.98
T00029	R14480	0.98
T00029	R21474	0.98
T00029	R21475	0.98
T00029	R32228	0.98
T00029	R35708	0.98
T00029	R22332	0.98
T00029	R02413	0.98
T00029	R13275	0.98
T00029	R14224	0.98
T00029	R36807	0.98
T00029	R36809	0.98
T00029	R36810	0.98
T00029	R01729	0.98
T00029	R01730	0.98
T00029	R32292	0.98
T00029	R36210	0.98
T00029	R22808	0.98
T00029	R22809	0.98
T00029	R22810	0.98
T00029	R08151	0.98
T00029	R21749	0.98
T00029	R21750	0.98
T00029	R59992	0.98
T00029	R59994	0.98
T00029	R31558	0.98
T00029	R08085	0.98
T00029	R30998	0.98
T00029	R29064	0.98
T00029	R20751	0.98
T00029	R36134	0.98
T00029	R60783	0.98
T00029	R00126	0.98
T00029	R42144	0.98
T00029	R05095	0.98
T00029	R00133	0.98
T00029	R05098	0.98
T00029	R03386	0.98
T00029	R30484	0.98
T00029	R29188	0.98
T00029	R14160	0.98
T00029	R02340	0.98
T00029	R35129	0.98
T00029	R35127	0.98
T00029	R01461	0.98
T00029	R04658	0.98
T00029	R01223	0.98
T00029	R01239	0.98
T00029	R30930	0.98
T00029	R18175	0.98
T00029	R37508	0.98
T00029	R37509	0.98
T00029	R37510	0.98
T00029	R37511	0.98
T00029	R21508	0.98
T00029	R02378	0.98
T00029	R00954	0.98
T00029	R21463	0.98
T00029	R21464	0.98
T00029	R32247	0.98
T00029	R08116	0.98
T00029	R23079	0.98
T00029	R01383	0.98
T00029	R01386	0.98
T00029	R01394	0.98
T00029	R01412	0.98
T00029	R60810	0.98
T00029	R60813	0.98
T00029	R01567	0.98
T00035	R02121	0.98
T00035	R05065	0.98
T00035	R17075	0.98
T00035	R16376	0.98
T00035	R16377	0.98
T00035	R16378	0.98
T00035	R16379	0.98
T00035	R16380	0.98
T00035	R16381	0.98
T00035	R16382	0.98
T00035	R16383	0.98
T00035	R16384	0.98
T00035	R16385	0.98
T00035	R16386	0.98
T00035	R16387	0.98
T00035	R16388	0.98
T00035	R16389	0.98
T00035	R16390	0.98
T00035	R16391	0.98
T00035	R16392	0.98
T00035	R16393	0.98
T00035	R16394	0.98
T00035	R16395	0.98
T00035	R16396	0.98
T00035	R16397	0.98
T00035	R16398	0.98
T00035	R16399	0.98
T00035	R16400	0.98
T00035	R16401	0.98
T00035	R16402	0.98
T00035	R16403	0.98
T00035	R16404	0.98
T00035	R16405	0.98
T00035	R16406	0.98
T00035	R16407	0.98
T00035	R16408	0.98
T00035	R16409	0.98
T00035	R16410	0.98
T00035	R16411	0.98
T00035	R16412	0.98
T00035	R16413	0.98
T00035	R16414	0.98
T00035	R16415	0.98
T00035	R16416	0.98
T00035	R16417	0.98
T00035	R16418	0.98
T00035	R16419	0.98
T00035	R16420	0.98
T00035	R16421	0.98
T00035	R16422	0.98
T00035	R16423	0.98
T00035	R16424	0.98
T00035	R16425	0.98
T00035	R16426	0.98
T00035	R16427	0.98
T00035	R16428	0.98
T00035	R16429	0.98
T00035	R16430	0.98
T00035	R16431	0.98
T00035	R16432	0.98
T00035	R16433	0.98
T00035	R16434	0.98
T00035	R16435	0.98
T00035	R16436	0.98
T00035	R16437	0.98
T00035	R16438	0.98
T00035	R16439	0.98
T00035	R16440	0.98
T00035	R16441	0.98
T00035	R16442	0.98
T00035	R16443	0.98
T00035	R16444	0.98
T00035	R16445	0.98
T00035	R16474	0.98
T00035	R16475	0.98
T00035	R16476	0.98
T00035	R16477	0.98
T00035	R16478	0.98
T00035	R16479	0.98
T00035	R16480	0.98
T00035	R16481	0.98
T00035	R16482	0.98
T00035	R16483	0.98
T00035	R16484	0.98
T00035	R16485	0.98
T00035	R00183	0.98
T00035	R11590	0.98
T00035	R03661	0.98
T00035	R03666	0.98
T00035	R02425	0.98
T00035	R04453	0.98
T00035	R16620	0.98
T00035	R04379	0.98
T00035	R21772	0.98
T00035	R18709	0.98
T00035	R18721	0.98
T00035	R18723	0.98
T00035	R18725	0.98
T00035	R14555	0.98
T00035	R04125	0.98
T00035	R04126	0.98
T00035	R00608	0.98
T00035	R16596	0.98
T00035	R18701	0.98
T00035	R13305	0.98
T00035	R04952	0.98
T00035	R00958	0.98
T00035	R00959	0.98
T00035	R17074	0.98
T00035	R03674	0.98
T00035	R21377	0.98
T00035	R21378	0.98
T00035	R04999	0.98
T00035	R05002	0.98
T00035	R63598	0.98
T00035	R63625	0.98
T00035	R02462	0.98
T00035	R05043	0.98
T00035	R01031	0.98
T00035	R01032	0.98
T00035	R01034	0.98
T00035	R01035	0.98
T00035	R16374	0.98
T00035	R18717	0.98
T00035	R01157	0.98
T00035	R01158	0.98
T00035	R04415	0.98
T00035	R01261	0.98
T00035	R18832	0.98
T00035	R18833	0.98
T00035	R16994	0.98
T00035	R16997	0.98
T00035	R16998	0.98
T00035	R16999	0.98
T00035	R17000	0.98
T00035	R17001	0.98
T00035	R17002	0.98
T00035	R17003	0.98
T00035	R17004	0.98
T00035	R17005	0.98
T00035	R17006	0.98
T00035	R17007	0.98
T00035	R17008	0.98
T00035	R17009	0.98
T00035	R02795	0.98
T00035	R02698	0.98
T00035	R02701	0.98
T00035	R02702	0.98
T00035	R02190	0.98
T00035	R08502	0.98
T00035	R01054	0.98
T00035	R01055	0.98
T00035	R16599	0.98
T00035	R04670	0.98
T00035	R08882	0.98
T00035	R04414	0.98
T00035	R16618	0.98
T00035	R16619	0.98
T00035	R01390	0.98
T00035	R01404	0.98
T00036	R02076	0.98
T00036	R05143	0.98
T00036	R05144	0.98
T00036	R05145	0.98
T00036	R05146	0.98
T00036	R05147	0.98
T00036	R22717	0.98
T00036	R22715	0.98
T00036	R34715	0.98
T00036	R35889	0.98
T00036	R35891	0.98
T00036	R60693	0.98
T00036	R60694	0.98
T00036	R34333	0.98
T00036	R63507	0.98
T00036	R01038	0.98
T00036	R41148	0.98
T00036	R01259	0.98
T00036	R64492	0.98
T00036	R37330	0.98
T00036	R22516	0.98
T00036	R01227	0.98
T00036	R01240	0.98
T00036	R02378	0.98
T00036	R01416	0.98
T00036	R01567	0.98
T00037	R03900	0.98
T00037	R01417	0.98
T00038	R01411	0.98
T00039	R02122	0.98
T00039	R56806	0.98
T00039	R02951	0.98
T00039	R03696	0.98
T00039	R03697	0.98
T00039	R03698	0.98
T00039	R01395	0.98
T00039	R01398	0.98
T00039	R56814	0.98
T00040	R02124	0.98
T00040	R10326	0.98
T00040	R68923	0.98
T00040	R68925	0.98
T00040	R37853	0.98
T00040	R37857	0.98
T00040	R64209	0.98
T00040	R68926	0.98
T00040	R68927	0.98
T00040	R69456	0.98
T00040	R31237	0.98
T00040	R31241	0.98
T00040	R32438	0.98
T00040	R37995	0.98
T00040	R14312	0.98
T00040	R67722	0.98
T00040	R68928	0.98
T00040	R65921	0.98
T00040	R67068	0.98
T00040	R32462	0.98
T00040	R31628	0.98
T00040	R31629	0.98
T00040	R68929	0.98
T00040	R68930	0.98
T00040	R60756	0.98
T00040	R31773	0.98
T00040	R55746	0.98
T00040	R09458	0.98
T00040	R64442	0.98
T00040	R57492	0.98
